disease_id,sex,year,age_low,rate_per_100k,deaths
cancer,female,1950,0,4.2,230.0
cancer,female,1950,5,1.9,91.0
cancer,female,1950,10,2.0,87.0
cancer,female,1950,15,3.3,140.0
cancer,female,1950,20,4.9,189.0
cancer,female,1950,25,11.6,391.0
cancer,female,1950,30,26.4,749.0
cancer,female,1950,35,56.0,1495.0
cancer,female,1950,40,104.8,2393.0
cancer,female,1950,45,152.4,3026.0
cancer,female,1950,50,215.5,3597.0
cancer,female,1950,55,283.6,3887.0
cancer,female,1950,60,375.4,4484.0
cancer,female,1950,65,470.6,4587.0
cancer,female,1950,70,484.3,3590.0
cancer,female,1950,75,463.4,1937.0
cancer,female,1950,80,379.6,684.0
cancer,female,1950,85,293.3,160.0
cancer,female,1950,90,305.7,28.0
cancer,female,1950,95,,9.0
cancer,female,1950,100,,
cancer,female,1955,0,5.4,242.0
cancer,female,1955,5,3.0,163.0
cancer,female,1955,10,3.3,156.0
cancer,female,1955,15,3.5,149.0
cancer,female,1955,20,5.3,223.0
cancer,female,1955,25,11.8,453.0
cancer,female,1955,30,23.6,784.0
cancer,female,1955,35,49.9,1396.0
cancer,female,1955,40,91.6,2401.0
cancer,female,1955,45,138.1,3082.0
cancer,female,1955,50,201.8,3875.0
cancer,female,1955,55,273.2,4366.0
cancer,female,1955,60,367.1,4661.0
cancer,female,1955,65,485.3,5086.0
cancer,female,1955,70,578.6,4622.0
cancer,female,1955,75,600.0,3202.0
cancer,female,1955,80,524.1,1282.0
cancer,female,1955,85,379.3,294.0
cancer,female,1955,90,360.1,58.0
cancer,female,1955,95,,3.0
cancer,female,1955,100,,
cancer,female,1960,0,6.7,255.0
cancer,female,1960,5,3.5,158.0
cancer,female,1960,10,4.0,218.0
cancer,female,1960,15,5.0,232.0
cancer,female,1960,20,7.4,311.0
cancer,female,1960,25,12.7,523.0
cancer,female,1960,30,26.3,993.0
cancer,female,1960,35,49.6,1624.0
cancer,female,1960,40,84.2,2311.0
cancer,female,1960,45,138.3,3540.0
cancer,female,1960,50,189.5,4095.0
cancer,female,1960,55,270.6,4977.0
cancer,female,1960,60,369.4,5519.0
cancer,female,1960,65,495.0,5610.0
cancer,female,1960,70,636.5,5539.0
cancer,female,1960,75,714.2,4128.0
cancer,female,1960,80,667.7,2095.0
cancer,female,1960,85,596.5,642.0
cancer,female,1960,90,438.8,100.0
cancer,female,1960,95,,5.0
cancer,female,1960,100,,
cancer,female,1965,0,6.6,264.0
cancer,female,1965,5,4.3,167.0
cancer,female,1965,10,4.0,179.0
cancer,female,1965,15,5.2,279.0
cancer,female,1965,20,7.8,358.0
cancer,female,1965,25,13.5,570.0
cancer,female,1965,30,27.0,1111.0
cancer,female,1965,35,45.5,1708.0
cancer,female,1965,40,74.0,2390.0
cancer,female,1965,45,120.6,3254.0
cancer,female,1965,50,188.6,4687.0
cancer,female,1965,55,262.3,5434.0
cancer,female,1965,60,358.1,6157.0
cancer,female,1965,65,488.7,6566.0
cancer,female,1965,70,642.7,6141.0
cancer,female,1965,75,756.0,4869.0
cancer,female,1965,80,739.2,2522.0
cancer,female,1965,85,586.9,816.0
cancer,female,1965,90,445.5,148.0
cancer,female,1965,95,,17.0
cancer,female,1965,100,,
cancer,female,1970,0,6.7,285.0
cancer,female,1970,5,4.2,167.0
cancer,female,1970,10,4.0,153.0
cancer,female,1970,15,5.5,246.0
cancer,female,1970,20,7.3,389.0
cancer,female,1970,25,13.9,633.0
cancer,female,1970,30,24.5,1020.0
cancer,female,1970,35,41.9,1705.0
