disease_id,mortality_code,disease_raw,sex,age_code,age_label,age_low,age_high,age_is_recap,age_is_total,year,deaths,rate_per_100k,population_thousand
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1950,230.0,4.2,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1955,242.0,5.4,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1960,255.0,6.7,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1965,264.0,6.6,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1970,285.0,6.7,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1975,294.0,6.1,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1980,204.0,4.9,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1985,137.0,3.8,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1990,99.0,3.1,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,1995,83.0,2.9,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2000,57.0,2.0,2885.0
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2005,56.0,2.1,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2010,45.0,1.8,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2013,45.0,1.8,2555.0
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2014,45.0,1.8,2540.0
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2015,36.0,1.5,
cancer,Hi022017,Hi02_悪性新生物＜腫瘍＞,female,a00_04,0-4歳,0,4,False,False,2016,33.0,1.4,2429.0
