disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,female,total,2024,40,40,34.36775005711055,2024
cancer,female,total,2024,40,41,36.799082841602335,2025
cancer,female,total,2024,40,42,39.462233476577524,2026
cancer,female,total,2024,40,43,42.3759363837466,2027
cancer,female,total,2024,40,44,45.5600533990517,2028
cancer,female,total,2024,40,45,49.03552026480982,2029
cancer,female,total,2024,40,46,52.803157852917664,2030
cancer,female,total,2024,40,47,56.906944612373486,2031
cancer,female,total,2024,40,48,61.36941440728329,2032
cancer,female,total,2024,40,49,66.21328659988343,2033
cancer,female,total,2024,40,50,71.46113791590928,2034
cancer,female,total,2024,40,51,77.05163916081021,2035
cancer,female,total,2024,40,52,83.07949286161552,2036
cancer,female,total,2024,40,53,89.57891369108994,2037
cancer,female,total,2024,40,54,96.586792982016,2038
cancer,female,total,2024,40,55,104.14290812591918,2039
cancer,female,total,2024,40,56,112.06125325163678,2040
cancer,female,total,2024,40,57,120.58165751568923,2041
cancer,female,total,2024,40,58,129.74989755451992,2042
cancer,female,total,2024,40,59,139.61523056040215,2043
cancer,female,total,2024,40,60,150.23065892012505,2044
cancer,female,total,2024,40,61,161.29342177174163,2045
cancer,female,total,2024,40,62,173.17083006784202,2046
cancer,female,total,2024,40,63,185.92287309040952,2047
cancer,female,total,2024,40,64,199.61395764315702,2048
cancer,female,total,2024,40,65,214.3132333512732,2049
cancer,female,total,2024,40,66,229.5871806711562,2050
cancer,female,total,2024,40,67,245.94969104000512,2051
cancer,female,total,2024,40,68,263.478345549777,2052
cancer,female,total,2024,40,69,282.2562544400838,2053
cancer,female,total,2024,40,70,302.37245115649984,2054
cancer,female,total,2024,40,71,323.29035050950347,2055
cancer,female,total,2024,40,72,345.6553344486489,2056
cancer,female,total,2024,40,73,369.56751120010625,2057
cancer,female,total,2024,40,74,395.1339144020396,2058
cancer,female,total,2024,40,75,422.4689821994111,2059
cancer,female,total,2024,40,76,451.20747622694125,2060
cancer,female,total,2024,40,77,481.9009091346487,2061
cancer,female,total,2024,40,78,514.6822658319569,2062
cancer,female,total,2024,40,79,549.6935775398208,2063
cancer,female,total,2024,40,80,587.0865371669569,2064
cancer,female,total,2024,40,81,627.0741162002746,2065
cancer,female,total,2024,40,82,669.7853251854252,2066
cancer,female,total,2024,40,83,715.405675731109,2067
cancer,female,total,2024,40,84,764.1333149940178,2068
cancer,female,total,2024,40,85,816.1798863100022,2069
cerebrovascular,female,total,2024,40,40,4.509359520432991,2024
cerebrovascular,female,total,2024,40,41,4.910550511684951,2025
cerebrovascular,female,total,2024,40,42,5.340203846860111,2026
cerebrovascular,female,total,2024,40,43,5.799921404901983,2027
cerebrovascular,female,total,2024,40,44,6.29140080637489,2028
cerebrovascular,female,total,2024,40,45,6.8164457916257115,2029
cerebrovascular,female,total,2024,40,46,7.363635741369453,2030
cerebrovascular,female,total,2024,40,47,7.9437512407353275,2031
cerebrovascular,female,total,2024,40,48,8.559201863461624,2032
cerebrovascular,female,total,2024,40,49,9.212778300498499,2033
cerebrovascular,female,total,2024,40,50,9.907709599847912,2034
cerebrovascular,female,total,2024,40,51,10.624967975962322,2035
cerebrovascular,female,total,2024,40,52,11.394151529426924,2036
cerebrovascular,female,total,2024,40,53,12.219019329682569,2037
cerebrovascular,female,total,2024,40,54,13.103602580109413,2038
cerebrovascular,female,total,2024,40,55,14.052224318881633,2039
cerebrovascular,female,total,2024,40,56,15.065752739220516,2040
cerebrovascular,female,total,2024,40,57,16.152382743730264,2041
cerebrovascular,female,total,2024,40,58,17.317386845249253,2042
cerebrovascular,female,total,2024,40,59,18.566417841009756,2043
cerebrovascular,female,total,2024,40,60,19.905536240967656,2044
cerebrovascular,female,total,2024,40,61,21.424635357967425,2045
cerebrovascular,female,total,2024,40,62,23.05966514366829,2046
cerebrovascular,female,total,2024,40,63,24.81947289433625,2047
cerebrovascular,female,total,2024,40,64,26.713581091260306,2048
cerebrovascular,female,total,2024,40,65,28.752238927772954,2049
cerebrovascular,female,total,2024,40,66,31.15301806961278,2050
cerebrovascular,female,total,2024,40,67,33.754259530313135,2051
cerebrovascular,female,total,2024,40,68,36.57270168475517,2052
cerebrovascular,female,total,2024,40,69,39.626480543022744,2053
cerebrovascular,female,total,2024,40,70,42.93524645134707,2054
cerebrovascular,female,total,2024,40,71,46.84473535427043,2055
cerebrovascular,female,total,2024,40,72,51.1102045937548,2056
cerebrovascular,female,total,2024,40,73,55.76406812547695,2057
cerebrovascular,female,total,2024,40,74,60.84169137297487,2058
cerebrovascular,female,total,2024,40,75,66.38165997493152,2059
cerebrovascular,female,total,2024,40,76,72.86262491548646,2060
cerebrovascular,female,total,2024,40,77,79.97633851849666,2061
cerebrovascular,female,total,2024,40,78,87.78457721285993,2062
cerebrovascular,female,total,2024,40,79,96.35514877513826,2063
cerebrovascular,female,total,2024,40,80,105.76248118124944,2064
cerebrovascular,female,total,2024,40,81,116.3994793622055,2065
cerebrovascular,female,total,2024,40,82,128.10628726243004,2066
cerebrovascular,female,total,2024,40,83,140.9905003535002,2067
cerebrovascular,female,total,2024,40,84,155.17053545708427,2068
cerebrovascular,female,total,2024,40,85,170.7767190957449,2069
heart_disease,female,total,2024,40,40,3.8291544276741187,2024
heart_disease,female,total,2024,40,41,4.263783337634465,2025
heart_disease,female,total,2024,40,42,4.736763746100505,2026
heart_disease,female,total,2024,40,43,5.250966058831623,2027
heart_disease,female,total,2024,40,44,5.809574886980932,2028
heart_disease,female,total,2024,40,45,6.416144605265492,2029
heart_disease,female,total,2024,40,46,7.077550086625208,2030
