disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,male,total,2024,40,40,21.317394604406605,2024
cancer,male,total,2024,40,41,23.38058262940846,2025
cancer,male,total,2024,40,42,25.713416586955333,2026
cancer,male,total,2024,40,43,28.35265882251435,2027
cancer,male,total,2024,40,44,31.340355330135253,2028
cancer,male,total,2024,40,45,34.72457963343757,2029
cancer,male,total,2024,40,46,38.57889029177424,2030
cancer,male,total,2024,40,47,42.95955517849124,2031
cancer,male,total,2024,40,48,47.93852905229798,2032
cancer,male,total,2024,40,49,53.59724264540779,2033
cancer,male,total,2024,40,50,60.02764363989773,2034
cancer,male,total,2024,40,51,67.35473563541001,2035
cancer,male,total,2024,40,52,75.57618686035933,2036
cancer,male,total,2024,40,53,84.8011645575986,2037
cancer,male,total,2024,40,54,95.15216113789938,2038
cancer,male,total,2024,40,55,106.76662067610141,2039
cancer,male,total,2024,40,56,119.64784168119321,2040
cancer,male,total,2024,40,57,134.08316127563148,2041
cancer,male,total,2024,40,58,150.26007895379286,2042
cancer,male,total,2024,40,59,168.38871572237795,2043
cancer,male,total,2024,40,60,188.70454334947698,2044
cancer,male,total,2024,40,61,210.74634774019316,2045
cancer,male,total,2024,40,62,235.36276497369002,2046
cancer,male,total,2024,40,63,262.8545250252773,2047
cancer,male,total,2024,40,64,293.55748490627946,2048
cancer,male,total,2024,40,65,327.8467317091589,2049
cancer,male,total,2024,40,66,364.0356361957087,2050
cancer,male,total,2024,40,67,404.21920245945336,2051
cancer,male,total,2024,40,68,448.8383756724155,2052
cancer,male,total,2024,40,69,498.38277412479056,2053
cancer,male,total,2024,40,70,553.3960619392442,2054
cancer,male,total,2024,40,71,610.2735863770878,2055
cancer,male,total,2024,40,72,672.9969290429128,2056
cancer,male,total,2024,40,73,742.166917611488,2057
cancer,male,total,2024,40,74,818.4461322583774,2058
cancer,male,total,2024,40,75,902.56525252363,2059
cancer,male,total,2024,40,76,990.1880095299473,2060
cancer,male,total,2024,40,77,1086.317350989766,2061
cancer,male,total,2024,40,78,1191.7791123542504,2062
cancer,male,total,2024,40,79,1307.4793027560374,2063
cancer,male,total,2024,40,80,1434.411888423224,2064
cancer,male,total,2024,40,81,1571.403111758567,2065
cancer,male,total,2024,40,82,1721.4774637422254,2066
cancer,male,total,2024,40,83,1885.8844277429937,2067
cancer,male,total,2024,40,84,2065.992817049204,2068
cancer,male,total,2024,40,85,2263.302171282676,2069
cerebrovascular,male,total,2024,40,40,10.311261079169988,2024
cerebrovascular,male,total,2024,40,41,11.263348562798994,2025
cerebrovascular,male,total,2024,40,42,12.279120158902748,2026
cerebrovascular,male,total,2024,40,43,13.361717251637861,2027
cerebrovascular,male,total,2024,40,44,14.51456704243339,2028
cerebrovascular,male,total,2024,40,45,15.741434610923129,2029
cerebrovascular,male,total,2024,40,46,17.045138247110714,2030
cerebrovascular,male,total,2024,40,47,18.430823593581003,2031
cerebrovascular,male,total,2024,40,48,19.90372668810933,2032
cerebrovascular,male,total,2024,40,49,21.469755097417053,2033
cerebrovascular,male,total,2024,40,50,23.135588559940253,2034
cerebrovascular,male,total,2024,40,51,24.90274505009252,2035
cerebrovascular,male,total,2024,40,52,26.804881553940863,2036
cerebrovascular,male,total,2024,40,53,28.852308196366074,2037
cerebrovascular,male,total,2024,40,54,31.05612261643084,2038
cerebrovascular,male,total,2024,40,55,33.42827011976335,2039
cerebrovascular,male,total,2024,40,56,35.98760836919585,2040
cerebrovascular,male,total,2024,40,57,38.74289490585771,2041
cerebrovascular,male,total,2024,40,58,41.70913194029172,2042
cerebrovascular,male,total,2024,40,59,44.90247028364515,2043
cerebrovascular,male,total,2024,40,60,48.34029728693349,2044
cerebrovascular,male,total,2024,40,61,52.11431815151081,2045
cerebrovascular,male,total,2024,40,62,56.18298415245794,2046
cerebrovascular,male,total,2024,40,63,60.56929880764122,2047
cerebrovascular,male,total,2024,40,64,65.29806156422949,2048
cerebrovascular,male,total,2024,40,65,70.39600801038159,2049
cerebrovascular,male,total,2024,40,66,76.0644729891423,2050
cerebrovascular,male,total,2024,40,67,82.18937713432142,2051
cerebrovascular,male,total,2024,40,68,88.80747408441198,2052
cerebrovascular,male,total,2024,40,69,95.95847697402824,2053
cerebrovascular,male,total,2024,40,70,103.6852967400338,2054
cerebrovascular,male,total,2024,40,71,112.29846776484388,2055
cerebrovascular,male,total,2024,40,72,121.6271376832786,2056
cerebrovascular,male,total,2024,40,73,131.7307432190837,2057
cerebrovascular,male,total,2024,40,74,142.67365852380715,2058
cerebrovascular,male,total,2024,40,75,154.52560533051806,2059
cerebrovascular,male,total,2024,40,76,167.74522665439548,2060
cerebrovascular,male,total,2024,40,77,182.09578280019414,2061
cerebrovascular,male,total,2024,40,78,197.67402491835125,2062
cerebrovascular,male,total,2024,40,79,214.58498119254264,2063
cerebrovascular,male,total,2024,40,80,232.94266493750663,2064
cerebrovascular,male,total,2024,40,81,253.1021664346711,2065
cerebrovascular,male,total,2024,40,82,275.0063268620626,2066
cerebrovascular,male,total,2024,40,83,298.80613382139626,2067
cerebrovascular,male,total,2024,40,84,324.6656417983931,2068
cerebrovascular,male,total,2024,40,85,352.76310300700595,2069
heart_disease,male,total,2024,40,40,16.08172750088509,2024
heart_disease,male,total,2024,40,41,17.590772909779727,2025
heart_disease,male,total,2024,40,42,19.255004868979153,2026
heart_disease,male,total,2024,40,43,21.089000461218365,2027
heart_disease,male,total,2024,40,44,23.10836188704613,2028
heart_disease,male,total,2024,40,45,25.329712124792508,2029
heart_disease,male,total,2024,40,46,27.768972339061296,2030
heart_disease,male,total,2024,40,47,30.448974540006446,2031
heart_disease,male,total,2024,40,48,33.38877866670929,2032
heart_disease,male,total,2024,40,49,36.607917045825666,2033
heart_disease,male,total,2024,40,50,40.12616790861077,2034
heart_disease,male,total,2024,40,51,43.923083110014524,2035
heart_disease,male,total,2024,40,52,48.07927919464352,2036
heart_disease,male,total,2024,40,53,52.62875290622366,2037
heart_disease,male,total,2024,40,54,57.608717910499124,2038
heart_disease,male,total,2024,40,55,63.05990919459911,2039
heart_disease,male,total,2024,40,56,68.8887685221071,2040
heart_disease,male,total,2024,40,57,75.2564107545354,2041
heart_disease,male,total,2024,40,58,82.2126375773123,2042
heart_disease,male,total,2024,40,59,89.81185402881002,2043
heart_disease,male,total,2024,40,60,98.11349400518746,2044
heart_disease,male,total,2024,40,61,106.968933515705,2045
heart_disease,male,total,2024,40,62,116.62363932205213,2046
heart_disease,male,total,2024,40,63,127.14975088279455,2047
heart_disease,male,total,2024,40,64,138.62591875487573,2048
heart_disease,male,total,2024,40,65,151.13789226647856,2049
heart_disease,male,total,2024,40,66,164.59189758479084,2050
heart_disease,male,total,2024,40,67,179.24355265453676,2051
heart_disease,male,total,2024,40,68,195.1994699597443,2052
heart_disease,male,total,2024,40,69,212.57575242330898,2053
heart_disease,male,total,2024,40,70,231.49883822766046,2054
heart_disease,male,total,2024,40,71,252.150130792774,2055
heart_disease,male,total,2024,40,72,274.6436610463139,2056
heart_disease,male,total,2024,40,73,299.14376929240166,2057
heart_disease,male,total,2024,40,74,325.829456123421,2058
heart_disease,male,total,2024,40,75,354.89569021881357,2059
heart_disease,male,total,2024,40,76,387.21536158291076,2060
heart_disease,male,total,2024,40,77,422.4783235697796,2061
heart_disease,male,total,2024,40,78,460.9526160240252,2062
heart_disease,male,total,2024,40,79,502.93068866596684,2063
heart_disease,male,total,2024,40,80,548.7316240523083,2064
heart_disease,male,total,2024,40,81,599.6599692739527,2065
heart_disease,male,total,2024,40,82,655.3150264861713,2066
heart_disease,male,total,2024,40,83,716.1354866800912,2067
heart_disease,male,total,2024,40,84,782.6007562079828,2068
heart_disease,male,total,2024,40,85,855.2347356177074,2069
cancer,male,total,2025,40,40,20.686388870498742,2025
cancer,male,total,2025,40,41,22.74236761595589,2026
cancer,male,total,2025,40,42,25.068798996702657,2027
cancer,male,total,2025,40,43,27.702868831887038,2028
cancer,male,total,2025,40,44,30.68711782227939,2029
cancer,male,total,2025,40,45,34.070196162492024,2030
cancer,male,total,2025,40,46,37.929505517951675,2031
cancer,male,total,2025,40,47,42.31765737539721,2032
cancer,male,total,2025,40,48,47.307041494889845,2033
cancer,male,total,2025,40,49,52.979504756804666,2034
cancer,male,total,2025,40,50,59.427367203498775,2035
cancer,male,total,2025,40,51,66.68118827905593,2036
cancer,male,total,2025,40,52,74.82042499175576,2037
cancer,male,total,2025,40,53,83.95315291202256,2038
cancer,male,total,2025,40,54,94.20063952652042,2039
cancer,male,total,2025,40,55,105.69895446934034,2040
cancer,male,total,2025,40,56,118.45136326438131,2041
cancer,male,total,2025,40,57,132.7423296628752,2042
cancer,male,total,2025,40,58,148.75747816425496,2043
cancer,male,total,2025,40,59,166.70482856515423,2044
cancer,male,total,2025,40,60,186.8174979159821,2045
cancer,male,total,2025,40,61,208.6388842627913,2046
cancer,male,total,2025,40,62,233.0091373239532,2047
cancer,male,total,2025,40,63,260.22597977502465,2048
cancer,male,total,2025,40,64,290.6219100572168,2049
cancer,male,total,2025,40,65,324.56826439206714,2050
cancer,male,total,2025,40,66,360.3952798337517,2051
cancer,male,total,2025,40,67,400.17701043485863,2052
cancer,male,total,2025,40,68,444.3499919156915,2053
cancer,male,total,2025,40,69,493.3989463835428,2054
cancer,male,total,2025,40,70,547.8621013198514,2055
cancer,male,total,2025,40,71,604.1708505133172,2056
cancer,male,total,2025,40,72,666.2669597524839,2057
cancer,male,total,2025,40,73,734.7452484353732,2058
cancer,male,total,2025,40,74,810.2616709357931,2059
cancer,male,total,2025,40,75,893.539599998394,2060
cancer,male,total,2025,40,76,980.2861294346482,2061
cancer,male,total,2025,40,77,1075.4541774798688,2062
cancer,male,total,2025,40,78,1179.8613212307082,2063
cancer,male,total,2025,40,79,1294.4045097284775,2064
cancer,male,total,2025,40,80,1420.0677695389923,2065
cancer,male,total,2025,40,81,1555.6890806409804,2066
cancer,male,total,2025,40,82,1704.2626891048035,2067
cancer,male,total,2025,40,83,1867.0255834655643,2068
cancer,male,total,2025,40,84,2045.3328888787123,2069
cancer,male,total,2025,40,85,2240.66914956985,2070
cerebrovascular,male,total,2025,40,40,10.336871774320533,2025
cerebrovascular,male,total,2025,40,41,11.273175905334076,2026
cerebrovascular,male,total,2025,40,42,12.27104108461794,2027
cerebrovascular,male,total,2025,40,43,13.333554655406116,2028
cerebrovascular,male,total,2025,40,44,14.464102309951862,2029
cerebrovascular,male,total,2025,40,45,15.666420650497653,2030
cerebrovascular,male,total,2025,40,46,16.943044614257882,2031
cerebrovascular,male,total,2025,40,47,18.29950148118917,2032
cerebrovascular,male,total,2025,40,48,19.741072853465766,2033
cerebrovascular,male,total,2025,40,49,21.27372946227821,2034
cerebrovascular,male,total,2025,40,50,22.904232674340847,2035
cerebrovascular,male,total,2025,40,51,24.65371759959159,2036
cerebrovascular,male,total,2025,40,52,26.53683273840145,2037
cerebrovascular,male,total,2025,40,53,28.563785114402396,2038
