age,rate_per_100k
20,0.4480294080498307
21,0.4994793741372563
22,0.5600395162924383
23,0.6312032591617408
24,0.7147108619419997
25,0.8125779115379056
26,0.9287454788370805
27,1.0650024390165984
28,1.2243525705143425
29,1.4100861543968066
30,1.6239954166031476
31,1.8658461727417148
32,2.1437141415194287
33,2.4629631250885176
34,2.829755720716654
35,3.2511722799913403
36,3.7082340704172045
37,4.229551293122977
38,4.824157213771994
39,5.502355027831957
40,6.275896391990712
41,7.074668407336759
42,7.975105060313576
43,8.990145835963228
44,10.134377107341722
45,11.424241745107107
46,12.723066691186522
47,14.169555375323707
48,15.780495725409196
49,17.574584293119987
50,19.57264324584269
51,21.54966773054543
52,23.726390629203806
53,26.12298339484985
54,28.761654990525678
55,31.666857697314896
56,34.53474910404558
57,37.662369505658404
58,41.07324111454404
59,44.79301641921427
60,48.84967111157748
61,52.93937552894807
62,57.37147083331683
63,62.17462205949684
64,67.37989408485562
65,73.02095254462256
66,78.88405084833637
67,85.21791706894362
68,92.06035074861423
69,99.45218648211353
70,107.43753761140175
71,115.96750611018474
72,125.17470869500386
73,135.1129141467584
74,145.84016020129113
75,157.419092481683
76,170.07515634926688
77,183.74873308708277
78,198.52162794294867
79,214.48222308254412
80,231.72600635559215
81,250.40236630342127
82,270.5839799186598
83,292.3921657349822
84,315.95802016399267
85,341.42320556027875
