age,rate_per_100k
20,0.7630101327889868
21,0.8478752299677662
22,0.9376757504773677
23,1.0322423770316906
24,1.1313812643062648
25,1.2348820970714458
26,1.341258752642099
27,1.451152998528418
28,1.5644657319063404
29,1.6811674307039857
30,1.8065745208850914
31,1.9416426444737054
32,2.086809104886427
33,2.242828901925606
34,2.4105134827780943
35,2.590734962290813
36,2.7861366635616895
37,2.9962762000088023
38,3.222265147346534
39,3.465298919963946
40,3.726663094311734
41,4.015838621196678
42,4.327453119148478
43,4.663247770859748
44,5.025098868478877
45,5.415028297613306
46,5.861225511121471
47,6.34418928288201
48,6.8669491697025435
49,7.432784363246032
50,8.045244259891302
51,8.74220118901215
52,9.499535273301694
53,10.322476966341723
54,11.216709834229741
55,12.188409808570855
56,13.308159046332186
57,14.530779649198536
58,15.865722409723887
59,17.32330636479639
60,18.914798561247345
61,20.79841663778173
62,22.86961361169419
63,25.147069407105175
64,27.651324176391203
65,30.404963549821996
66,33.69748398442769
67,37.34654787597695
68,41.39076492764826
69,45.87292584538567
70,50.84045509414114
71,56.7733866220973
72,63.39867380364143
73,70.79711250651567
74,79.05892723851181
75,88.28487144202485
76,99.20352439640034
77,111.47254441130184
78,125.25893846147012
79,140.750368149878
80,158.15770417390206
81,178.32348438830942
82,201.0604873817767
83,226.69655499871894
84,255.60133031362136
85,288.1915874657299
