age,rate_per_100k
20,1.693332904917317
21,1.8428359117648354
22,2.0084962203695014
23,2.192190017321738
24,2.396023350512121
25,2.6223609824302567
26,2.8786897275846823
27,3.1646806255195488
28,3.4837060966977558
29,3.839492515934232
30,4.236147830241517
31,4.6744034772513015
32,5.157999376734054
33,5.691626257738763
34,6.280460134195093
35,6.930212510630432
36,7.65008006787335
37,8.444723008869072
38,9.321908537402694
39,10.290210666286688
40,11.35909402368621
41,12.540534376340938
42,13.844854362175058
43,15.284834486117488
44,16.874584532018382
45,18.629681818724357
46,20.549216190166835
47,22.666532372324166
48,25.002009080592973
49,27.578124778773017
50,30.419674029473484
51,33.48088621589839
52,36.85015627438454
53,40.558484882689484
54,44.639992398697814
55,49.13223280207647
56,53.89913947462193
57,59.1285408869505
58,64.86530919600179
59,71.1586701443786
60,78.06262545386257
61,85.36362575709067
62,93.34747018857885
63,102.07802343592259
64,111.62512328973258
65,122.06513929288235
66,133.1921533915036
67,145.3334656219925
68,158.58153571264526
69,173.03725168427732
70,188.810698142712
71,205.8854355284175
72,224.50429440542985
73,244.8069144722144
74,266.94556347852483
75,291.08627921927075
76,317.77195884734374
77,346.9040797818297
78,378.70692242889197
79,413.4253283667345
80,451.32658531541716
81,493.40326629941
82,539.4027099573352
83,589.6906311373258
84,644.666839880434
85,704.7684200779549
