disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,female,total,2024,20,20,2.398115496232298,2024
cancer,female,total,2024,20,21,2.653918731433868,2025
cancer,female,total,2024,20,22,2.9414586880862084,2026
cancer,female,total,2024,20,23,3.2647943200154446,2027
cancer,female,total,2024,20,24,3.6285011386093844,2028
cancer,female,total,2024,20,25,4.03773288869053,2029
cancer,female,total,2024,20,26,4.5041253747876135,2030
cancer,female,total,2024,20,27,5.0311243994673,2031
cancer,female,total,2024,20,28,5.626217521271487,2032
cancer,female,total,2024,20,29,6.297674171930724,2033
cancer,female,total,2024,20,30,7.0545860820616175,2034
cancer,female,total,2024,20,31,7.913993498632211,2035
cancer,female,total,2024,20,32,8.878096087827405,2036
cancer,female,total,2024,20,33,9.959648078851586,2037
cancer,female,total,2024,20,34,11.172957453183681,2038
cancer,female,total,2024,20,35,12.534075226586433,2039
cancer,female,total,2024,20,36,14.031881268085801,2040
cancer,female,total,2024,20,37,15.708673225769342,2041
cancer,female,total,2024,20,38,17.585839688883382,2042
cancer,female,total,2024,20,39,19.68732515587483,2043
cancer,female,total,2024,20,40,22.039935462288526,2044
cancer,female,total,2024,20,41,24.56150569437246,2045
cancer,female,total,2024,20,42,27.371566627629786,2046
cancer,female,total,2024,20,43,30.503124237307425,2047
cancer,female,total,2024,20,44,33.992960684150006,2048
cancer,female,total,2024,20,45,37.88206634456431,2049
cancer,female,total,2024,20,46,41.908347335431294,2050
cancer,female,total,2024,20,47,46.36256006766546,2051
cancer,female,total,2024,20,48,51.290187103384305,2052
cancer,female,total,2024,20,49,56.74154510149412,2053
cancer,female,total,2024,20,50,62.77229860782568,2054
cancer,female,total,2024,20,51,68.84599556129956,2055
cancer,female,total,2024,20,52,75.50736885450911,2056
cancer,female,total,2024,20,53,82.81328063960481,2057
cancer,female,total,2024,20,54,90.82609491410454,2058
cancer,female,total,2024,20,55,99.61420986624607,2059
cancer,female,total,2024,20,56,108.27703649365961,2060
cancer,female,total,2024,20,57,117.69321513056445,2061
cancer,female,total,2024,20,58,127.92826010324397,2062
cancer,female,total,2024,20,59,139.05338311038417,2063
cancer,female,total,2024,20,60,151.14598868802221,2064
cancer,female,total,2024,20,61,162.99914659205243,2065
cancer,female,total,2024,20,62,175.78185183979596,2066
cancer,female,total,2024,20,63,189.56700131419322,2067
cancer,female,total,2024,20,64,204.43320861135518,2068
cancer,female,total,2024,20,65,220.46525235615866,2069
cancer,female,total,2024,20,66,236.2665372897484,2070
cancer,female,total,2024,20,67,253.20033903895424,2071
cancer,female,total,2024,20,68,271.34782785942673,2072
