disease_id,sex,section,issue_year,issue_age,age,rate_per_100k,year_lookup
cancer,male,total,2024,20,20,2.409877728807341,2024
cancer,male,total,2024,20,21,2.6599919697364096,2025
cancer,male,total,2024,20,22,2.9302405030810275,2026
cancer,male,total,2024,20,23,3.2224497407898354,2027
cancer,male,total,2024,20,24,3.538761725488391,2028
cancer,male,total,2024,20,25,3.881692535057306,2029
cancer,male,total,2024,20,26,4.257436398978809,2030
cancer,male,total,2024,20,27,4.666350558841174,2031
cancer,male,total,2024,20,28,5.112685298578864,2032
cancer,male,total,2024,20,29,5.601488523335057,2033
cancer,male,total,2024,20,30,6.138758477764806,2034
cancer,male,total,2024,20,31,6.7479835350886015,2035
cancer,male,total,2024,20,32,7.417669542589139,2036
cancer,male,total,2024,20,33,8.15381678940806,2037
cancer,male,total,2024,20,34,8.963021047716584,2038
cancer,male,total,2024,20,35,9.852532669874064,2039
cancer,male,total,2024,20,36,10.877354303035933,2040
cancer,male,total,2024,20,37,12.00877384507943,2041
cancer,male,total,2024,20,38,13.257879190532012,2042
cancer,male,total,2024,20,39,14.636911553027835,2043
cancer,male,total,2024,20,40,16.159385429017686,2044
cancer,male,total,2024,20,41,17.932133311730137,2045
cancer,male,total,2024,20,42,19.899358581560193,2046
cancer,male,total,2024,20,43,22.08239616970078,2047
cancer,male,total,2024,20,44,24.504921532872,2048
cancer,male,total,2024,20,45,27.19320741814,2049
cancer,male,total,2024,20,46,30.309886417237934,2050
cancer,male,total,2024,20,47,33.78377550318053,2051
cancer,male,total,2024,20,48,37.655815384388646,2052
cancer,male,total,2024,20,49,41.971639082484074,2053
cancer,male,total,2024,20,50,46.78210972960731,2054
cancer,male,total,2024,20,51,52.306725786815086,2055
cancer,male,total,2024,20,52,58.48375753788459,2056
cancer,male,total,2024,20,53,65.39025037985141,2057
cancer,male,total,2024,20,54,73.11234819291208,2058
cancer,male,total,2024,20,55,81.74636780300025,2059
cancer,male,total,2024,20,56,91.475163087092,2060
cancer,male,total,2024,20,57,102.36180134602844,2061
cancer,male,total,2024,20,58,114.54407973919561,2062
cancer,male,total,2024,20,59,128.17619493571235,2063
cancer,male,total,2024,20,60,143.430694852192,2064
cancer,male,total,2024,20,61,160.19038420991802,2065
cancer,male,total,2024,20,62,178.90842137915632,2066
cancer,male,total,2024,20,63,199.81363674387143,2067
cancer,male,total,2024,20,64,223.1615992195173,2068
cancer,male,total,2024,20,65,249.23774061551853,2069
cancer,male,total,2024,20,66,277.0583239749585,2070
cancer,male,total,2024,20,67,307.9843152736137,2071
cancer,male,total,2024,20,68,342.3623484531363,2072
cancer,male,total,2024,20,69,380.5777496630487,2073
cancer,male,total,2024,20,70,423.0588561884931,2074
cancer,male,total,2024,20,71,467.3926253268335,2075
cancer,male,total,2024,20,72,516.372280155216,2076
cancer,male,total,2024,20,73,570.4846787564172,2077
cancer,male,total,2024,20,74,630.267698719196,2078
cancer,male,total,2024,20,75,696.3155836449772,2079
cancer,male,total,2024,20,76,765.5339003216632,2080
cancer,male,total,2024,20,77,841.6329697433521,2081
cancer,male,total,2024,20,78,925.2967836713457,2082
cancer,male,total,2024,20,79,1017.2773271151895,2083
cancer,male,total,2024,20,80,1118.4013373056214,2084
cancer,male,total,2024,20,81,1227.7137331230776,2085
cancer,male,total,2024,20,82,1347.7103077596848,2086
cancer,male,total,2024,20,83,1479.4353314117561,2087
cancer,male,total,2024,20,84,1624.0351411037013,2088
cancer,male,total,2024,20,85,1782.7681166860368,2089
cerebrovascular,male,total,2024,20,20,0.4858743978519095,2024
cerebrovascular,male,total,2024,20,21,0.536521400848976,2025
cerebrovascular,male,total,2024,20,22,0.5963026654422181,2026
cerebrovascular,male,total,2024,20,23,0.6666836250633199,2027
cerebrovascular,male,total,2024,20,24,0.7493843721908974,2028
cerebrovascular,male,total,2024,20,25,0.8464114532274704,2029
cerebrovascular,male,total,2024,20,26,0.9613150642839113,2030
cerebrovascular,male,total,2024,20,27,1.096485214221956,2031
cerebrovascular,male,total,2024,20,28,1.2550766987956512,2032
cerebrovascular,male,total,2024,20,29,1.4406129009013815,2033
cerebrovascular,male,total,2024,20,30,1.6569691017275254,2034
cerebrovascular,male,total,2024,20,31,1.9037304078580906,2035
cerebrovascular,male,total,2024,20,32,2.1872402219359546,2036
cerebrovascular,male,total,2024,20,33,2.512971253023689,2037
cerebrovascular,male,total,2024,20,34,2.8872112240757617,2038
cerebrovascular,male,total,2024,20,35,3.3171842464966232,2039
cerebrovascular,male,total,2024,20,36,3.7835262426458565,2040
cerebrovascular,male,total,2024,20,37,4.315428316623789,2041
cerebrovascular,male,total,2024,20,38,4.922107145976935,2042
cerebrovascular,male,total,2024,20,39,5.6140751227751835,2043
cerebrovascular,male,total,2024,20,40,6.403322509938489,2044
cerebrovascular,male,total,2024,20,41,7.218312832707642,2045
cerebrovascular,male,total,2024,20,42,8.137031997054969,2046
cerebrovascular,male,total,2024,20,43,9.172682211981664,2047
cerebrovascular,male,total,2024,20,44,10.34014601300043,2048
cerebrovascular,male,total,2024,20,45,11.656200127647287,2049
cerebrovascular,male,total,2024,20,46,12.981396481161637,2050
cerebrovascular,male,total,2024,20,47,14.457254744744118,2051
cerebrovascular,male,total,2024,20,48,16.10090370922273,2052
cerebrovascular,male,total,2024,20,49,17.9314195420059,2053
cerebrovascular,male,total,2024,20,50,19.97004718482062,2054
cerebrovascular,male,total,2024,20,51,21.987213274712207,2055
cerebrovascular,male,total,2024,20,52,24.208132465262523,2056
cerebrovascular,male,total,2024,20,53,26.653385771706823,2057
cerebrovascular,male,total,2024,20,54,29.34563308899672,2058
cerebrovascular,male,total,2024,20,55,32.309823178568415,2059
cerebrovascular,male,total,2024,20,56,35.23594439755696,2060
cerebrovascular,male,total,2024,20,57,38.42706816208386,2061
cerebrovascular,male,total,2024,20,58,41.907194280730586,2062
cerebrovascular,male,total,2024,20,59,45.702496091433794,2063
cerebrovascular,male,total,2024,20,60,49.84151730596622,2064
cerebrovascular,male,total,2024,20,61,54.0142592887951,2065
cerebrovascular,male,total,2024,20,62,58.53634408051917,2066
cerebrovascular,male,total,2024,20,63,63.43701873226901,2067
cerebrovascular,male,total,2024,20,64,68.7479788642543,2068
cerebrovascular,male,total,2024,20,65,74.50357366046585,2069
cerebrovascular,male,total,2024,20,66,80.48571660885256,2070
cerebrovascular,male,total,2024,20,67,86.9481859697415,2071
cerebrovascular,male,total,2024,20,68,93.92954876911973,2072
cerebrovascular,male,total,2024,20,69,101.47146870943115,2073
cerebrovascular,male,total,2024,20,70,109.61895481216385,2074
cerebrovascular,male,total,2024,20,71,118.32211622302293,2075
cerebrovascular,male,total,2024,20,72,127.71626231507386,2076
cerebrovascular,male,total,2024,20,73,137.85625359326443,2077
cerebrovascular,male,total,2024,20,74,148.80130619456298,2078
cerebrovascular,male,total,2024,20,75,160.61533770195177,2079
cerebrovascular,male,total,2024,20,76,173.52837093078946,2080
cerebrovascular,male,total,2024,20,77,187.47957666266993,2081
cerebrovascular,male,total,2024,20,78,202.55242112330245,2082
cerebrovascular,male,total,2024,20,79,218.8370809943314,2083
cerebrovascular,male,total,2024,20,80,236.4309829156129,2084
cerebrovascular,male,total,2024,20,81,255.48654862097882,2085
cerebrovascular,male,total,2024,20,82,276.0779307403934,2086
cerebrovascular,male,total,2024,20,83,298.32891106517934,2087
cerebrovascular,male,total,2024,20,84,322.37324779511556,2088
cerebrovascular,male,total,2024,20,85,348.3554796044065,2089
heart_disease,male,total,2024,20,20,1.7322490549681446,2024
heart_disease,male,total,2024,20,21,1.8825739069893406,2025
heart_disease,male,total,2024,20,22,2.0490167318638606,2026
heart_disease,male,total,2024,20,23,2.2334358966629284,2027
heart_disease,male,total,2024,20,24,2.437916364318515,2028
heart_disease,male,total,2024,20,25,2.6647980288868727,2029
heart_disease,male,total,2024,20,26,2.9212599110015973,2030
heart_disease,male,total,2024,20,27,3.2073503969314965,2031
heart_disease,male,total,2024,20,28,3.5264420172038076,2032
heart_disease,male,total,2024,20,29,3.882265208965291,2033
heart_disease,male,total,2024,20,30,4.278937202264159,2034
heart_disease,male,total,2024,20,31,4.721619673991214,2035
heart_disease,male,total,2024,20,32,5.210100380539448,2036
heart_disease,male,total,2024,20,33,5.749117432059358,2037
heart_disease,male,total,2024,20,34,6.343899125449588,2038
heart_disease,male,total,2024,20,35,7.000214657202456,2039
heart_disease,male,total,2024,20,36,7.7273536039124755,2040
heart_disease,male,total,2024,20,37,8.530023241281892,2041
heart_disease,male,total,2024,20,38,9.416069229699687,2042
heart_disease,male,total,2024,20,39,10.394152188168373,2043
heart_disease,male,total,2024,20,40,11.473832347157789,2044
heart_disease,male,total,2024,20,41,12.667206440748418,2045
heart_disease,male,total,2024,20,42,13.984701375934405,2046
heart_disease,male,total,2024,20,43,15.43922675365403,2047
heart_disease,male,total,2024,20,44,17.04503488082665,2048
heart_disease,male,total,2024,20,45,18.8178604229539,2049
heart_disease,male,total,2024,20,46,20.756784030471543,2050
heart_disease,male,total,2024,20,47,22.89548724477189,2051
heart_disease,male,total,2024,20,48,25.254554626861605,2052
heart_disease,male,total,2024,20,49,27.856691695730326,2053
heart_disease,male,total,2024,20,50,30.72694346411462,2054
heart_disease,male,total,2024,20,51,33.81907698575595,2055
heart_disease,male,total,2024,20,52,37.22238007513589,2056
heart_disease,male,total,2024,20,53,40.96816654817122,2057
heart_disease,male,total,2024,20,54,45.09090141282608,2058
heart_disease,male,total,2024,20,55,49.62851798189541,2059
heart_disease,male,total,2024,20,56,54.44357522689085,2060
heart_disease,male,total,2024,20,57,59.72579887570756,2061
heart_disease,male,total,2024,20,58,65.52051433939573,2062
heart_disease,male,total,2024,20,59,71.8774445902814,2063
heart_disease,male,total,2024,20,60,78.85113682208345,2064
heart_disease,male,total,2024,20,61,86.22588460312194,2065
heart_disease,male,total,2024,20,62,94.29037392785749,2066
heart_disease,male,total,2024,20,63,103.10911458173996,2067
heart_disease,male,total,2024,20,64,112.75264978760863,2068
heart_disease,male,total,2024,20,65,123.29812049786092,2069
heart_disease,male,total,2024,20,66,134.53752867828655,2070
heart_disease,male,total,2024,20,67,146.80148042625498,2071
heart_disease,male,total,2024,20,68,160.18336940671233,2072
heart_disease,male,total,2024,20,69,174.78510271139135,2073
heart_disease,male,total,2024,20,70,190.71787691183025,2074
heart_disease,male,total,2024,20,71,207.96508639234085,2075
heart_disease,male,total,2024,20,72,226.77201455093916,2076
heart_disease,male,total,2024,20,73,247.27971158809527,2077
