run_id,disease_id,sex,section,cohort,gamma,is_observed
female_apc02_age20,cancer,female,total,1865,-1.3937068119362606,1
female_apc02_age20,cancer,female,total,1870,-1.134468046565912,1
female_apc02_age20,cancer,female,total,1875,-0.894022266806072,1
female_apc02_age20,cancer,female,total,1880,-0.6757450822935831,1
female_apc02_age20,cancer,female,total,1885,-0.48225704311761913,1
female_apc02_age20,cancer,female,total,1890,-0.3155002848493074,1
female_apc02_age20,cancer,female,total,1895,-0.1760893084235456,1
female_apc02_age20,cancer,female,total,1900,-0.06357535917026969,1
female_apc02_age20,cancer,female,total,1905,0.023265351827694458,1
female_apc02_age20,cancer,female,total,1910,0.08643962754797893,1
female_apc02_age20,cancer,female,total,1915,0.12863856080351474,1
female_apc02_age20,cancer,female,total,1920,0.15325289264897773,1
female_apc02_age20,cancer,female,total,1925,0.16374980369272712,1
female_apc02_age20,cancer,female,total,1928,0.21208446448666674,1
female_apc02_age20,cancer,female,total,1929,0.24021989034054203,1
female_apc02_age20,cancer,female,total,1930,0.16626286414498873,1
female_apc02_age20,cancer,female,total,1931,0.25031666566816446,1
female_apc02_age20,cancer,female,total,1932,0.2670448898761,1
female_apc02_age20,cancer,female,total,1933,0.23363668828718392,1
female_apc02_age20,cancer,female,total,1934,0.2518079255221875,1
female_apc02_age20,cancer,female,total,1935,0.17424646489270415,1
female_apc02_age20,cancer,female,total,1936,0.250821139182831,1
female_apc02_age20,cancer,female,total,1937,0.26307480819440143,1
female_apc02_age20,cancer,female,total,1938,0.23202469282972152,1
female_apc02_age20,cancer,female,total,1939,0.24341206659199743,1
female_apc02_age20,cancer,female,total,1940,0.16931712501059243,1
female_apc02_age20,cancer,female,total,1941,0.229593054704605,1
female_apc02_age20,cancer,female,total,1942,0.2408867325051196,1
female_apc02_age20,cancer,female,total,1943,0.21077140400250097,1
female_apc02_age20,cancer,female,total,1944,0.221618406032441,1
female_apc02_age20,cancer,female,total,1945,0.15721564189229598,1
female_apc02_age20,cancer,female,total,1946,0.2019534133330272,1
female_apc02_age20,cancer,female,total,1947,0.21260266289967622,1
female_apc02_age20,cancer,female,total,1948,0.18468016855752892,1
female_apc02_age20,cancer,female,total,1949,0.1950881937941801,1
female_apc02_age20,cancer,female,total,1950,0.1381765156608238,1
female_apc02_age20,cancer,female,total,1951,0.17070107135988066,1
female_apc02_age20,cancer,female,total,1952,0.18056304801029754,1
female_apc02_age20,cancer,female,total,1953,0.1551602372699107,1
female_apc02_age20,cancer,female,total,1954,0.1648343553225001,1
female_apc02_age20,cancer,female,total,1955,0.11204812234156339,1
female_apc02_age20,cancer,female,total,1956,0.1361440513151988,1
female_apc02_age20,cancer,female,total,1957,0.14465650490261406,1
female_apc02_age20,cancer,female,total,1958,0.12146673694828321,1
female_apc02_age20,cancer,female,total,1959,0.1297930964218558,1
female_apc02_age20,cancer,female,total,1960,0.07856428488743442,1
female_apc02_age20,cancer,female,total,1961,0.0972299083756265,1
female_apc02_age20,cancer,female,total,1962,0.10385290947222559,1
female_apc02_age20,cancer,female,total,1963,0.08249664685611043,1
female_apc02_age20,cancer,female,total,1964,0.0886570537562054,1
female_apc02_age20,cancer,female,total,1965,0.03805465085339667,1
female_apc02_age20,cancer,female,total,1966,0.05299347284494327,1
female_apc02_age20,cancer,female,total,1967,0.0569377863132543,1
female_apc02_age20,cancer,female,total,1968,0.0371428778256279,1
female_apc02_age20,cancer,female,total,1969,0.04023656030531401,1
female_apc02_age20,cancer,female,total,1970,-0.008858963936963902,1
female_apc02_age20,cancer,female,total,1971,0.002462019466336951,1
female_apc02_age20,cancer,female,total,1972,0.0031208572757299713,1
female_apc02_age20,cancer,female,total,1973,-0.015287206174405895,1
female_apc02_age20,cancer,female,total,1974,-0.016213291292011434,1
female_apc02_age20,cancer,female,total,1975,-0.06191262006379481,1
female_apc02_age20,cancer,female,total,1976,-0.0547498810475775,1
female_apc02_age20,cancer,female,total,1977,-0.05811057637223449,1
female_apc02_age20,cancer,female,total,1978,-0.07522885087851121,1
female_apc02_age20,cancer,female,total,1979,-0.08099692971218249,1
female_apc02_age20,cancer,female,total,1980,-0.12140115290885942,1
female_apc02_age20,cancer,female,total,1981,-0.11908343294215218,1
female_apc02_age20,cancer,female,total,1982,-0.12714862810277205,1
female_apc02_age20,cancer,female,total,1983,-0.1431998267414941,1
female_apc02_age20,cancer,female,total,1984,-0.1541836230294035,1
female_apc02_age20,cancer,female,total,1985,-0.18928243156259497,1
female_apc02_age20,cancer,female,total,1986,-0.19169943435861558,1
female_apc02_age20,cancer,female,total,1987,-0.2043647917103122,1
female_apc02_age20,cancer,female,total,1988,-0.22070377487247575,1
female_apc02_age20,cancer,female,total,1989,-0.23685026221984265,1
female_apc02_age20,cancer,female,total,1990,-0.2702996375673353,1
female_apc02_age20,cancer,female,total,1991,-0.2750238380708848,1
female_apc02_age20,cancer,female,total,1992,-0.2920360714376534,1
female_apc02_age20,cancer,female,total,1993,-0.31025627075993784,1
female_apc02_age20,cancer,female,total,1994,-0.33098383088116634,1
female_apc02_age20,cancer,female,total,1995,-0.37658478889685054,1
female_apc02_age20,cancer,female,total,1996,-0.37264842919381547,1
female_apc02_age20,cancer,female,total,1997,-0.39294526110363337,1
female_apc02_age20,cancer,female,total,1998,-0.4396951233735317,1
female_apc02_age20,cancer,female,total,1999,-0.46460656316584564,1
female_apc02_age20,cancer,female,total,2000,-0.5084729305291579,1
female_apc02_age20,cancer,female,total,2001,-0.5077028956069537,1
female_apc02_age20,cancer,female,total,2002,-0.5292248515695117,1
female_apc02_age20,cancer,female,total,2003,-0.5771680989025417,1
female_apc02_age20,cancer,female,total,2004,-0.6078580003228838,1
female_apc02_age20,heart_disease,female,total,1865,-1.1531065251108275,1
female_apc02_age20,heart_disease,female,total,1870,-0.9237960531995022,1
female_apc02_age20,heart_disease,female,total,1875,-0.7060024087992396,1
female_apc02_age20,heart_disease,female,total,1880,-0.5065676183387188,1
female_apc02_age20,heart_disease,female,total,1885,-0.3313901108563247,1
female_apc02_age20,heart_disease,female,total,1890,-0.18365900169596028,1
female_apc02_age20,heart_disease,female,total,1895,-0.06381225635232801,1
female_apc02_age20,heart_disease,female,total,1900,0.029473807943634765,1
female_apc02_age20,heart_disease,female,total,1905,0.0984452565446374,1
female_apc02_age20,heart_disease,female,total,1910,0.145676202744337,1
female_apc02_age20,heart_disease,female,total,1915,0.1740608316609171,1
female_apc02_age20,heart_disease,female,total,1920,0.18665766932173078,1
female_apc02_age20,heart_disease,female,total,1925,0.18704101609575424,1
female_apc02_age20,heart_disease,female,total,1928,0.1730023693464806,1
female_apc02_age20,heart_disease,female,total,1929,0.15406438982298942,1
female_apc02_age20,heart_disease,female,total,1930,0.17714274333104152,1
female_apc02_age20,heart_disease,female,total,1931,0.11834642856752708,1
female_apc02_age20,heart_disease,female,total,1932,0.10343273224719107,1
female_apc02_age20,heart_disease,female,total,1933,0.12255549050796744,1
female_apc02_age20,heart_disease,female,total,1934,0.10758505805414775,1
female_apc02_age20,heart_disease,female,total,1935,0.1364480856282134,1
female_apc02_age20,heart_disease,female,total,1936,0.07529062933826958,1
female_apc02_age20,heart_disease,female,total,1937,0.06042679422936614,1
female_apc02_age20,heart_disease,female,total,1938,0.07424208951137949,1
female_apc02_age20,heart_disease,female,total,1939,0.059648626863374986,1
female_apc02_age20,heart_disease,female,total,1940,0.10245719599555926,1
female_apc02_age20,heart_disease,female,total,1941,0.06933963732039561,1
female_apc02_age20,heart_disease,female,total,1942,0.05494836044009399,1
female_apc02_age20,heart_disease,female,total,1943,0.06505070081649748,1
female_apc02_age20,heart_disease,female,total,1944,0.05032388786110994,1
female_apc02_age20,heart_disease,female,total,1945,0.0654234112330571,1
female_apc02_age20,heart_disease,female,total,1946,0.06465645376343176,1
female_apc02_age20,heart_disease,female,total,1947,0.05128226181932871,1
female_apc02_age20,heart_disease,female,total,1948,0.056351082145928176,1
female_apc02_age20,heart_disease,female,total,1949,0.042545330592001974,1
female_apc02_age20,heart_disease,female,total,1950,0.027783412585512778,1
female_apc02_age20,heart_disease,female,total,1951,0.05962481968370059,1
female_apc02_age20,heart_disease,female,total,1952,0.04818424959385914,1
female_apc02_age20,heart_disease,female,total,1953,0.04780165778657911,1
female_apc02_age20,heart_disease,female,total,1954,0.03605952405760856,1
female_apc02_age20,heart_disease,female,total,1955,-0.008685711344970527,1
female_apc02_age20,heart_disease,female,total,1956,0.0531286524213459,1
female_apc02_age20,heart_disease,female,total,1957,0.04413170409801226,1
female_apc02_age20,heart_disease,female,total,1958,0.0382050681739395,1
female_apc02_age20,heart_disease,female,total,1959,0.029394807988344745,1
female_apc02_age20,heart_disease,female,total,1960,-0.043433049324738425,1
female_apc02_age20,heart_disease,female,total,1961,0.04404899195051826,1
female_apc02_age20,heart_disease,female,total,1962,0.03801915178438042,1
female_apc02_age20,heart_disease,female,total,1963,0.02615512526590365,1
female_apc02_age20,heart_disease,female,total,1964,0.02085241177161601,1
female_apc02_age20,heart_disease,female,total,1965,-0.07650572798368166,1
female_apc02_age20,heart_disease,female,total,1966,0.030281393343655205,1
female_apc02_age20,heart_disease,female,total,1967,0.027278276744121754,1
female_apc02_age20,heart_disease,female,total,1968,0.00930919201534075,1
female_apc02_age20,heart_disease,female,total,1969,0.0077934640945581295,1
female_apc02_age20,heart_disease,female,total,1970,-0.10874217158821375,1
female_apc02_age20,heart_disease,female,total,1971,0.009384257063597357,1
female_apc02_age20,heart_disease,female,total,1972,0.009313036947012021,1
female_apc02_age20,heart_disease,female,total,1973,-0.014510381859428101,1
female_apc02_age20,heart_disease,female,total,1974,-0.012433135064891113,1
female_apc02_age20,heart_disease,female,total,1975,-0.14082963780213734,1
female_apc02_age20,heart_disease,female,total,1976,-0.019892243672793297,1
female_apc02_age20,heart_disease,female,total,1977,-0.0168636983705861,1
female_apc02_age20,heart_disease,female,total,1978,-0.04557629653124059,1
female_apc02_age20,heart_disease,female,total,1979,-0.03977638738652608,1
female_apc02_age20,heart_disease,female,total,1980,-0.1720876311926561,1
female_apc02_age20,heart_disease,female,total,1981,-0.05595835656782966,1
female_apc02_age20,heart_disease,female,total,1982,-0.049222013614336646,1
female_apc02_age20,heart_disease,female,total,1983,-0.08079294247668911,1
female_apc02_age20,heart_disease,female,total,1984,-0.07085554739560222,1
female_apc02_age20,heart_disease,female,total,1985,-0.20060582042263492,1
female_apc02_age20,heart_disease,female,total,1986,-0.09388109800477062,1
female_apc02_age20,heart_disease,female,total,1987,-0.08214516735624477,1
female_apc02_age20,heart_disease,female,total,1988,-0.11401384824372045,1
female_apc02_age20,heart_disease,female,total,1989,-0.09952013252091534,1
female_apc02_age20,heart_disease,female,total,1990,-0.2205261002373137,1
female_apc02_age20,heart_disease,female,total,1991,-0.12387258226748554,1
female_apc02_age20,heart_disease,female,total,1992,-0.10702861398147423,1
female_apc02_age20,heart_disease,female,total,1993,-0.13584956733588624,1
female_apc02_age20,heart_disease,female,total,1994,-0.11603368726195473,1
female_apc02_age20,heart_disease,female,total,1995,-0.21629456411281822,1
female_apc02_age20,heart_disease,female,total,1996,-0.1342334889427812,1
female_apc02_age20,heart_disease,female,total,1997,-0.1118866591188421,1
female_apc02_age20,heart_disease,female,total,1998,-0.0954291720482916,1
female_apc02_age20,heart_disease,female,total,1999,-0.06518093510138301,1
female_apc02_age20,heart_disease,female,total,2000,-0.17399884992936787,1
female_apc02_age20,heart_disease,female,total,2001,-0.07418055942602209,1
female_apc02_age20,heart_disease,female,total,2002,-0.03630809867652651,1
female_apc02_age20,heart_disease,female,total,2003,-0.006370644071703069,1
female_apc02_age20,heart_disease,female,total,2004,0.03712987347532026,1
female_apc02_age20,cerebrovascular,female,total,1865,-0.03166002305834242,1
female_apc02_age20,cerebrovascular,female,total,1870,0.0679051412793181,1
female_apc02_age20,cerebrovascular,female,total,1875,0.15847250403917615,1
female_apc02_age20,cerebrovascular,female,total,1880,0.2329783015120264,1
female_apc02_age20,cerebrovascular,female,total,1885,0.2851947934736426,1
female_apc02_age20,cerebrovascular,female,total,1890,0.3112611270032069,1
female_apc02_age20,cerebrovascular,female,total,1895,0.3103205600036244,1
