run_id,disease_id,sex,section,cohort,gamma,is_observed
male_apc03_age20,cancer,male,total,1865,-1.6285080386504218,1
male_apc03_age20,cancer,male,total,1870,-1.3280744094255494,1
male_apc03_age20,cancer,male,total,1875,-1.0490734846586012,1
male_apc03_age20,cancer,male,total,1880,-0.7950061036329181,1
male_apc03_age20,cancer,male,total,1885,-0.5690979849855188,1
male_apc03_age20,cancer,male,total,1890,-0.3738428253735146,1
male_apc03_age20,cancer,male,total,1895,-0.21003701505567188,1
male_apc03_age20,cancer,male,total,1900,-0.07719700146083827,1
male_apc03_age20,cancer,male,total,1905,0.026280673936169965,1
male_apc03_age20,cancer,male,total,1910,0.10301312018983269,1
male_apc03_age20,cancer,male,total,1915,0.15634946279049353,1
male_apc03_age20,cancer,male,total,1920,0.19011332856778548,1
male_apc03_age20,cancer,male,total,1925,0.2079928300919044,1
male_apc03_age20,cancer,male,total,1928,0.30839140314523916,1
male_apc03_age20,cancer,male,total,1929,0.3530434352643599,1
male_apc03_age20,cancer,male,total,1930,0.2187523072421659,1
male_apc03_age20,cancer,male,total,1931,0.38690216675169065,1
male_apc03_age20,cancer,male,total,1932,0.40572035979159415,1
male_apc03_age20,cancer,male,total,1933,0.35161085617053667,1
male_apc03_age20,cancer,male,total,1934,0.3743444052725533,1
male_apc03_age20,cancer,male,total,1935,0.23501441355501246,1
male_apc03_age20,cancer,male,total,1936,0.3826729501894025,1
male_apc03_age20,cancer,male,total,1937,0.3952798972658728,1
male_apc03_age20,cancer,male,total,1938,0.35055611669210474,1
male_apc03_age20,cancer,male,total,1939,0.36465407417356177,1
male_apc03_age20,cancer,male,total,1940,0.22382365490287995,1
male_apc03_age20,cancer,male,total,1941,0.3308659670727935,1
male_apc03_age20,cancer,male,total,1942,0.33881360778086406,1
male_apc03_age20,cancer,male,total,1943,0.297599531592414,1
male_apc03_age20,cancer,male,total,1944,0.30655134421515057,1
male_apc03_age20,cancer,male,total,1945,0.19886637788163872,1
male_apc03_age20,cancer,male,total,1946,0.26425807906107124,1
male_apc03_age20,cancer,male,total,1947,0.2678945336145279,1
male_apc03_age20,cancer,male,total,1948,0.23252543329338216,1
male_apc03_age20,cancer,male,total,1949,0.23672104215174292,1
male_apc03_age20,cancer,male,total,1950,0.1614476247169625,1
male_apc03_age20,cancer,male,total,1951,0.18935494729553726,1
male_apc03_age20,cancer,male,total,1952,0.18885745508476698,1
male_apc03_age20,cancer,male,total,1953,0.15993780084420073,1
male_apc03_age20,cancer,male,total,1954,0.1592702731727453,1
male_apc03_age20,cancer,male,total,1955,0.11316590273051663,1
male_apc03_age20,cancer,male,total,1956,0.11070756223566203,1
male_apc03_age20,cancer,male,total,1957,0.10627954939503609,1
male_apc03_age20,cancer,male,total,1958,0.08339605666230325,1
male_apc03_age20,cancer,male,total,1959,0.07790406268681375,1
male_apc03_age20,cancer,male,total,1960,0.0560451547086145,1
male_apc03_age20,cancer,male,total,1961,0.03181410321641731,1
male_apc03_age20,cancer,male,total,1962,0.024248553271470186,1
male_apc03_age20,cancer,male,total,1963,0.006677671450012819,1
male_apc03_age20,cancer,male,total,1964,-0.002821370491443228,1
male_apc03_age20,cancer,male,total,1965,-0.006744913206742149,1
male_apc03_age20,cancer,male,total,1966,-0.043066679436217226,1
male_apc03_age20,cancer,male,total,1967,-0.05251308097929136,1
male_apc03_age20,cancer,male,total,1968,-0.06579835158413005,1
male_apc03_age20,cancer,male,total,1969,-0.07778843939045506,1
male_apc03_age20,cancer,male,total,1970,-0.07177231778635344,1
male_apc03_age20,cancer,male,total,1971,-0.11002322693190647,1
male_apc03_age20,cancer,male,total,1972,-0.11974499986564441,1
male_apc03_age20,cancer,male,total,1973,-0.1301599817075675,1
male_apc03_age20,cancer,male,total,1974,-0.14283611837925092,1
male_apc03_age20,cancer,male,total,1975,-0.13604287258761233,1
male_apc03_age20,cancer,male,total,1976,-0.16648470205630084,1
male_apc03_age20,cancer,male,total,1977,-0.1749810078098087,1
male_apc03_age20,cancer,male,total,1978,-0.18443667692169385,1
male_apc03_age20,cancer,male,total,1979,-0.19599852644193286,1
male_apc03_age20,cancer,male,total,1980,-0.19670210415492756,1
male_apc03_age20,cancer,male,total,1981,-0.21211744155249457,1
male_apc03_age20,cancer,male,total,1982,-0.21807867654401353,1
male_apc03_age20,cancer,male,total,1983,-0.22872116155911656,1
male_apc03_age20,cancer,male,total,1984,-0.2374998303888184,1
male_apc03_age20,cancer,male,total,1985,-0.2515445527310415,1
male_apc03_age20,cancer,male,total,1986,-0.24837829714113135,1
male_apc03_age20,cancer,male,total,1987,-0.2506522606070865,1
male_apc03_age20,cancer,male,total,1988,-0.2643542763393411,1
male_apc03_age20,cancer,male,total,1989,-0.269102283801132,1
male_apc03_age20,cancer,male,total,1990,-0.2981677294554675,1
male_apc03_age20,cancer,male,total,1991,-0.27697628597178237,1
male_apc03_age20,cancer,male,total,1992,-0.27480049771626364,1
male_apc03_age20,cancer,male,total,1993,-0.29250130422645926,1
male_apc03_age20,cancer,male,total,1994,-0.29210235483877434,1
male_apc03_age20,cancer,male,total,1995,-0.3300551620097826,1
male_apc03_age20,cancer,male,total,1996,-0.2980998592599784,1
male_apc03_age20,cancer,male,total,1997,-0.2903351090060175,1
male_apc03_age20,cancer,male,total,1998,-0.3044525635388243,1
male_apc03_age20,cancer,male,total,1999,-0.297215887238043,1
male_apc03_age20,cancer,male,total,2000,-0.3273867930514094,1
male_apc03_age20,cancer,male,total,2001,-0.29595640019382297,1
male_apc03_age20,cancer,male,total,2002,-0.2862562875604112,1
male_apc03_age20,cancer,male,total,2003,-0.296870562996969,1
male_apc03_age20,cancer,male,total,2004,-0.28815608933800274,1
male_apc03_age20,heart_disease,male,total,1865,-0.539895375291974,1
male_apc03_age20,heart_disease,male,total,1870,-0.40848998100710776,1
male_apc03_age20,heart_disease,male,total,1875,-0.288237554568351,1
male_apc03_age20,heart_disease,male,total,1880,-0.18449429844547308,1
male_apc03_age20,heart_disease,male,total,1885,-0.10109466892727219,1
male_apc03_age20,heart_disease,male,total,1890,-0.039034101926498026,1
male_apc03_age20,heart_disease,male,total,1895,0.003423440133098619,1
male_apc03_age20,heart_disease,male,total,1900,0.029367082942377803,1
male_apc03_age20,heart_disease,male,total,1905,0.0423752269920599,1
male_apc03_age20,heart_disease,male,total,1910,0.04621855006730656,1
male_apc03_age20,heart_disease,male,total,1915,0.04470263663091536,1
male_apc03_age20,heart_disease,male,total,1920,0.04092924010963831,1
male_apc03_age20,heart_disease,male,total,1925,0.036767553926156306,1
male_apc03_age20,heart_disease,male,total,1928,-0.016527741013209085,1
male_apc03_age20,heart_disease,male,total,1929,-0.03464677120982562,1
male_apc03_age20,heart_disease,male,total,1930,0.0307014464704587,1
male_apc03_age20,heart_disease,male,total,1931,-0.06415507275568855,1
male_apc03_age20,heart_disease,male,total,1932,-0.06693223207716592,1
male_apc03_age20,heart_disease,male,total,1933,-0.04069276672763261,1
male_apc03_age20,heart_disease,male,total,1934,-0.04368398319460892,1
male_apc03_age20,heart_disease,male,total,1935,0.01838401959058439,1
male_apc03_age20,heart_disease,male,total,1936,-0.048696947221176345,1
male_apc03_age20,heart_disease,male,total,1937,-0.042850878584282825,1
male_apc03_age20,heart_disease,male,total,1938,-0.027642064106087678,1
male_apc03_age20,heart_disease,male,total,1939,-0.02290916214785177,1
male_apc03_age20,heart_disease,male,total,1940,0.01864889117744997,1
male_apc03_age20,heart_disease,male,total,1941,-0.014529865850803625,1
male_apc03_age20,heart_disease,male,total,1942,-0.007150993982146248,1
male_apc03_age20,heart_disease,male,total,1943,0.0017027546941832024,1
male_apc03_age20,heart_disease,male,total,1944,0.008576710126030673,1
male_apc03_age20,heart_disease,male,total,1945,0.02080861051302634,1
male_apc03_age20,heart_disease,male,total,1946,0.020097171592822316,1
male_apc03_age20,heart_disease,male,total,1947,0.02867960327740471,1
male_apc03_age20,heart_disease,male,total,1948,0.03186599206499178,1
male_apc03_age20,heart_disease,male,total,1949,0.0405906585486198,1
male_apc03_age20,heart_disease,male,total,1950,0.024462418004612865,1
male_apc03_age20,heart_disease,male,total,1951,0.05231106340509439,1
male_apc03_age20,heart_disease,male,total,1952,0.061556767071791696,1
male_apc03_age20,heart_disease,male,total,1953,0.05988481393408015,1
male_apc03_age20,heart_disease,male,total,1954,0.06980152565254767,1
male_apc03_age20,heart_disease,male,total,1955,0.028627984671797325,1
